name	brand	category	source
DJI Osmo Action 5 Pro	DJI	cameras	https://www.dji.com/ae/osmo-action-5-pro
GoPro HERO13 Black	GoPro	cameras	https://gopro.com/en/us/shop/cameras/buy/hero13black/CHDHX-131-master.html
Fujifilm X100VI	Fujifilm	cameras	https://www.fujifilm-x.com/global/products/cameras/x100vi/
Dyson V15 Detect	Dyson	home-electronics	https://www.dyson.ae/en-AE/dyson-v15-detect-absolute
Dyson Supersonic Hair Dryer	Dyson	home-electronics	https://www.dyson.ae/en-AE/products/hair-care/dyson-supersonic/overview
Xiaomi Smart Air Purifier 4	Xiaomi	home-electronics	https://www.mi.com/global/product/xiaomi-smart-air-purifier-4/
Xiaomi Robot Vacuum X20+	Xiaomi	home-electronics	https://www.mi.com/global/product/xiaomi-robot-vacuum-x20-plus/
TP-Link Tapo C210	TP-Link	home-electronics	https://www.tp-link.com/ae/home-networking/cloud-camera/tapo-c210/
Philips Hue Bridge	Philips Hue	home-electronics	https://www.philips-hue.com/en-us/p/hue-bridge/046677458478
Ninja Foodi Dual Zone Air Fryer AF300ME	Ninja	home-electronics	https://www.sharkninja.ae/product/ninja-foodi-dual-zone-air-fryer-af300me
JBL Flip 6	JBL	home-electronics	https://www.jbl.com/FLIP-6.html
